Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-2 Measure Description,HBIPS-2 Overall Rate Per 1000,HBIPS-2 Overall Num,HBIPS-2 Overall Den,HBIPS-2 Overall Footnote,HBIPS-3 Measure Description,HBIPS-3 Overall Rate Per 1000,HBIPS-3 Overall Num,HBIPS-3 Overall Den,HBIPS-3 Overall Footnote,HBIPS-5 Measure Description,HBIPS-5 %,HBIPS-5 Denominator,HBIPS-5 Footnote,SMD Measure Description,SMD %,SMD Denominator,SMD Footnote, SUB-2/-2a Measure Description,SUB-2 %,SUB-2 Denominator,SUB-2 Footnote ,SUB-2a %,SUB-2a Denominator,SUB-2a Footnote , SUB-3/-3a Measure Description,SUB-3 %,SUB-3 Denominator,SUB-3 Footnote ,SUB-3a %,SUB-3a Denominator,SUB-3a Footnote ,TOB-2/-2a Measure_Desc,TOB-2 %,TOB-2 Denominator,TOB-2 Footnote,TOB-2a %,TOB-2a Denominator,TOB-2a Footnote,TOB-3/-3a Measure Description,TOB-3 %,TOB-3 Denominator,TOB-3 Footnote,TOB-3a %,TOB-3a Denominator,TOB-3a Footnote,TR-1 Measure Description,TR-1 %,TR-1 Denominator,TR-1 Footnote,TR-2 Measure Description,TR-2 %,TR-2 Denominator,TR-2 Footnote,Start Date,End Date,FUH Measure Description,FUH-30 %,FUH-30 Denominator,FUH-30 Footnote,FUH-7 %,FUH-7 Denominator,FUH-7 Footnote,FUH Measure Start Date,FUH Measure End Date,READM-30-IPF Measure Desc,READM-30-IPF Category,READM-30-IPF Denominator,READM-30-IPF Rate,READM-30-IPF Lower Estimate,READM-30-IPF Higher Estimate,READM-30-IPF Footnote,READM-30-IPF Start Date,READM-30-IPF End Date,IMM-2 Measure Description,IMM-2 %,IMM-2 Denominator,IMM-2 Footnote,Flu Season Start Date,Flu Season End Date,Location
194044,VERMILION BEHAVIORAL HEALTH SYSTEMS,2520 N UNIVERSITY AVENUE,LAFAYETTE,LA,70507,LAFAYETTE,Hours of physical-restraint use,0,5,34260,,Hours of seclusion use,0,3,34260,,Patients discharged on multiple antipsychotic medications with appropriate justification,17,24,,Screening for metabolic disorders (SMD),47,629,,Alcohol use brief intervention provided or offered,80,296,,75,296,,Alcohol and other drug use disorder treatment provided or offered at discharge,38,734,,38,734,,Tobacco use treatment provided or offered,64,683,,6,683,,Tobacco use treatment provided or offered at discharge,25,634,,0,634,,Transition record with specified elements received by discharged patients (TR1),47,1219,,Timely transmission of transition record (TR2),36,1219,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,91,,26,91,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,266,19,16,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),77,493,,43374,43555,"2520 N UNIVERSITY AVENUE LAFAYETTE, LA 70507 (30.27139, -92.047095)"
250017,TRACE REGIONAL HOSP AND SWING BED,1002 EAST MADISON STREET,HOUSTON,MS,38851,CHICKASAW,Hours of physical-restraint use,0,0,3334,,Hours of seclusion use,0,0,3334,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,11,,Screening for metabolic disorders (SMD),100,229,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,0,19,,0,19,,Tobacco use treatment provided or offered at discharge,100,19,,89,19,,Transition record with specified elements received by discharged patients (TR1),100,267,,Timely transmission of transition record (TR2),100,267,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,11,27,,7,27,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,455,22,18,26,,42552,43281,Influenza immunization (IPFQR-IMM-2),93,135,,43374,43555,"1002 EAST MADISON STREET HOUSTON, MS 38851 (33.89479, -88.985085)"
50329,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,CORONA,CA,92882,RIVERSIDE,Hours of physical-restraint use,0,3,10881,,Hours of seclusion use,0,4,10881,,Patients discharged on multiple antipsychotic medications with appropriate justification,53,76,,Screening for metabolic disorders (SMD),95,267,,Alcohol use brief intervention provided or offered,66,119,,44,119,,Alcohol and other drug use disorder treatment provided or offered at discharge,56,266,,54,266,,Tobacco use treatment provided or offered,81,231,,37,231,,Tobacco use treatment provided or offered at discharge,78,220,,45,220,,Transition record with specified elements received by discharged patients (TR1),29,635,,Timely transmission of transition record (TR2),15,635,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58,104,,44,104,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,314,24,21,27,,42552,43281,Influenza immunization (IPFQR-IMM-2),95,315,,43374,43555,"800 SOUTH MAIN STREET CORONA, CA 92882 (33.873327, -117.566768)"
230037,HILLSDALE HOSPITAL,168 S HOWELL STREET,HILLSDALE,MI,49242,HILLSDALE,Hours of physical-restraint use,0,13,2404,,Hours of seclusion use,0,0,2404,,Patients discharged on multiple antipsychotic medications with appropriate justification,98,41,,Screening for metabolic disorders (SMD),38,300,,Alcohol use brief intervention provided or offered,100,20,,100,20,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,52,,15,52,,Tobacco use treatment provided or offered,98,245,,98,245,,Tobacco use treatment provided or offered at discharge,0,245,,0,245,,Transition record with specified elements received by discharged patients (TR1),100,408,,Timely transmission of transition record (TR2),100,408,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,70,50,,38,50,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,108,15,11,20,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,181,,43374,43555,"168 S HOWELL STREET HILLSDALE, MI 49242 (41.911437, -84.631702)"
154057,OPTIONS BEHAVIORAL HEALTH SYSTEM,5602 CAITO DRIVE,INDIANAPOLIS,IN,46226,MARION,Hours of physical-restraint use,0,7,23397,,Hours of seclusion use,0,0,23397,,Patients discharged on multiple antipsychotic medications with appropriate justification,76,21,,Screening for metabolic disorders (SMD),62,317,,Alcohol use brief intervention provided or offered,83,82,,72,82,,Alcohol and other drug use disorder treatment provided or offered at discharge,62,223,,39,223,,Tobacco use treatment provided or offered,94,170,,2,170,,Tobacco use treatment provided or offered at discharge,54,161,,0,161,,Transition record with specified elements received by discharged patients (TR1),65,613,,Timely transmission of transition record (TR2),64,613,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,46,201,,18,201,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,564,20,17,22,,42552,43281,Influenza immunization (IPFQR-IMM-2),71,299,,43374,43555,"5602 CAITO DRIVE INDIANAPOLIS, IN 46226 (39.856135, -86.043422)"
340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,Hours of physical-restraint use,0,6,6812,,Hours of seclusion use,0,66,6812,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),90,292,,Alcohol use brief intervention provided or offered,87,114,,86,114,,Alcohol and other drug use disorder treatment provided or offered at discharge,94,155,,94,155,,Tobacco use treatment provided or offered,84,170,,69,170,,Tobacco use treatment provided or offered at discharge,76,167,,71,167,,Transition record with specified elements received by discharged patients (TR1),84,912,,Timely transmission of transition record (TR2),81,912,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42,115,,24,115,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,289,19,16,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,453,,43374,43555,
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,CUYAHOGA,Hours of physical-restraint use,0,35,5028,,Hours of seclusion use,0,0,5028,,Patients discharged on multiple antipsychotic medications with appropriate justification,91,43,,Screening for metabolic disorders (SMD),90,277,,Alcohol use brief intervention provided or offered,67,21,,57,21,,Alcohol and other drug use disorder treatment provided or offered at discharge,43,37,,41,37,,Tobacco use treatment provided or offered,85,59,,36,59,,Tobacco use treatment provided or offered at discharge,20,41,,20,41,,Transition record with specified elements received by discharged patients (TR1),73,350,,Timely transmission of transition record (TR2),69,350,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47,36,,17,36,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,222,17,13,22,,42552,43281,Influenza immunization (IPFQR-IMM-2),97,154,,43374,43555,"7007 POWERS BOULEVARD PARMA, OH 44129 (41.382762, -81.731476)"
390119,MOSES TAYLOR HOSPITAL,700 QUINCY AVENUE,SCRANTON,PA,18510,LACKAWANNA,Hours of physical-restraint use,0,0,6201,,Hours of seclusion use,0,8,6201,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,11,,Screening for metabolic disorders (SMD),100,197,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,100,11,,9,11,,Tobacco use treatment provided or offered,100,50,,28,50,,Tobacco use treatment provided or offered at discharge,100,48,,0,48,,Transition record with specified elements received by discharged patients (TR1),95,310,,Timely transmission of transition record (TR2),95,310,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,53,81,,30,81,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,303,18,15,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,173,,43374,43555,"700 QUINCY AVENUE SCRANTON, PA 18510 (41.410675, -75.650814)"
424011,PATRICK B HARRIS PSYCHIATRIC HOSPITAL,130 HIGHWAY 252,ANDERSON,SC,29622,ANDERSON,Hours of physical-restraint use,0,8,45600,,Hours of seclusion use,0,489,45600,,Patients discharged on multiple antipsychotic medications with appropriate justification,73,30,,Screening for metabolic disorders (SMD),96,166,,Alcohol use brief intervention provided or offered,92,50,,92,50,,Alcohol and other drug use disorder treatment provided or offered at discharge,20,165,,20,165,,Tobacco use treatment provided or offered,66,152,,18,152,,Tobacco use treatment provided or offered at discharge,0,148,,0,148,,Transition record with specified elements received by discharged patients (TR1),49,314,,Timely transmission of transition record (TR2),48,314,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,42552,43281,Influenza immunization (IPFQR-IMM-2),78,127,,43374,43555,"130 HIGHWAY 252 ANDERSON, SC 29622 (34.479407, -82.568256)"
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,Hours of physical-restraint use,0,0,1829,,Hours of seclusion use,0,0,1829,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),99,69,,Alcohol use brief intervention provided or offered,88,48,,88,48,,Alcohol and other drug use disorder treatment provided or offered at discharge,79,52,,62,52,,Tobacco use treatment provided or offered,77,71,,17,71,,Tobacco use treatment provided or offered at discharge,62,61,,15,61,,Transition record with specified elements received by discharged patients (TR1),43,181,,Timely transmission of transition record (TR2),40,181,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,57,14,,57,14,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,52,20,15,26,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,84,,43374,43555,"269 SOUTH CANDY LANE COTTONWOOD, AZ 86326 (34.736201, -112.031784)"
150058,MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND,IN,46601,ST. JOSEPH,Hours of physical-restraint use,0,0,2826,,Hours of seclusion use,0,0,2826,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,149,,Alcohol use brief intervention provided or offered,100,19,,95,19,,Alcohol and other drug use disorder treatment provided or offered at discharge,98,55,,98,55,,Tobacco use treatment provided or offered,100,68,,35,68,,Tobacco use treatment provided or offered at discharge,98,55,,2,55,,Transition record with specified elements received by discharged patients (TR1),94,264,,Timely transmission of transition record (TR2),93,264,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,77,44,,50,44,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,205,18,14,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,60,,43374,43555,"615 N MICHIGAN ST SOUTH BEND, IN 46601 (41.683711, -86.25057)"
350002,CHI ST ALEXIUS HEALTH,900 E BROADWAY,BISMARCK,ND,58501,BURLEIGH,Hours of physical-restraint use,0,23,9379,,Hours of seclusion use,0,31,9379,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),95,237,,Alcohol use brief intervention provided or offered,95,77,,92,77,,Alcohol and other drug use disorder treatment provided or offered at discharge,88,137,,82,137,,Tobacco use treatment provided or offered,96,165,,72,165,,Tobacco use treatment provided or offered at discharge,93,133,,27,133,,Transition record with specified elements received by discharged patients (TR1),83,585,,Timely transmission of transition record (TR2),81,585,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,80,25,,36,25,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,84,19,14,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),97,288,,43374,43555,"900 E BROADWAY BISMARCK, ND 58501 (46.806369, -100.777075)"
110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",743 SPRING STREET,GAINESVILLE,GA,30501,HALL,Hours of physical-restraint use,0,92,13869,,Hours of seclusion use,0,3,13869,,Patients discharged on multiple antipsychotic medications with appropriate justification,71,41,,Screening for metabolic disorders (SMD),97,291,,Alcohol use brief intervention provided or offered,72,138,,71,138,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,253,,100,253,,Tobacco use treatment provided or offered,77,343,,63,343,,Tobacco use treatment provided or offered at discharge,78,331,,0,331,,Transition record with specified elements received by discharged patients (TR1),43,830,,Timely transmission of transition record (TR2),27,830,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,40,137,,26,137,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,458,20,17,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),91,431,,43374,43555,"743 SPRING STREET GAINESVILLE, GA 30501 (34.30335, -83.81737)"
344030,STRATEGIC BEHAVIORAL CENTER-LELAND,2050 MERCANTILE DRIVE,LELAND,NC,28451,BRUNSWICK,Hours of physical-restraint use,3,46,676,,Hours of seclusion use,2,34,676,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,36,,Screening for metabolic disorders (SMD),100,315,,Alcohol use brief intervention provided or offered,86,14,,79,14,,Alcohol and other drug use disorder treatment provided or offered at discharge,53,15,,53,15,,Tobacco use treatment provided or offered,10,30,,7,30,,Tobacco use treatment provided or offered at discharge,0,21,,0,21,,Transition record with specified elements received by discharged patients (TR1),99,628,,Timely transmission of transition record (TR2),4,630,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39,70,,17,70,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,242,16,12,20,,42552,43281,Influenza immunization (IPFQR-IMM-2),35,289,,43374,43555,"2050 MERCANTILE DRIVE LELAND, NC 28451 (34.261494, -78.064727)"
70035,THE HOSPITAL OF CENTRAL CONNECTICUT,100 GRAND STREET,NEW BRITAIN,CT,6050,HARTFORD,Hours of physical-restraint use,1,194,10359,,Hours of seclusion use,1,272,10359,,Patients discharged on multiple antipsychotic medications with appropriate justification,61,31,,Screening for metabolic disorders (SMD),67,381,,Alcohol use brief intervention provided or offered,90,156,,80,156,,Alcohol and other drug use disorder treatment provided or offered at discharge,45,254,,43,254,,Tobacco use treatment provided or offered,57,247,,42,247,,Tobacco use treatment provided or offered at discharge,30,224,,2,224,,Transition record with specified elements received by discharged patients (TR1),84,645,,Timely transmission of transition record (TR2),84,645,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,70,95,,42,95,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,251,16,13,20,,42552,43281,Influenza immunization (IPFQR-IMM-2),79,317,,43374,43555,"100 GRAND STREET NEW BRITAIN, CT 06050 (41.662015, -72.787799)"
310092,CAPITAL HEALTH SYSTEM-FULD CAMPUS,750 BRUNSWICK AVE,TRENTON,NJ,8638,MERCER,Hours of physical-restraint use,0,35,5554,,Hours of seclusion use,0,5,5554,,Patients discharged on multiple antipsychotic medications with appropriate justification,98,59,,Screening for metabolic disorders (SMD),97,448,,Alcohol use brief intervention provided or offered,100,69,,100,69,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,86,,100,86,,Tobacco use treatment provided or offered,100,101,,96,101,,Tobacco use treatment provided or offered at discharge,100,94,,99,94,,Transition record with specified elements received by discharged patients (TR1),89,695,,Timely transmission of transition record (TR2),87,695,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,36,72,,15,72,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,244,19,15,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,342,,43374,43555,"750 BRUNSWICK AVE TRENTON, NJ 08638 (40.235987, -74.752776)"
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON,MS,39202,HINDS,Hours of physical-restraint use,0,0,4031,,Hours of seclusion use,0,0,4031,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),93,221,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),0,317,,Timely transmission of transition record (TR2),0,317,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,23,35,,9,35,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,388,24,20,28,,42552,43281,Influenza immunization (IPFQR-IMM-2),90,145,,43374,43555,"1225 N STATE ST JACKSON, MS 39202 (32.314278, -90.178228)"
54111,CANYON RIDGE HOSPITAL,5353 G STREET,CHINO,CA,91710,SAN BERNARDINO,Hours of physical-restraint use,0,43,36160,,Hours of seclusion use,0,20,36160,,Patients discharged on multiple antipsychotic medications with appropriate justification,85,61,,Screening for metabolic disorders (SMD),96,497,,Alcohol use brief intervention provided or offered,47,123,,41,123,,Alcohol and other drug use disorder treatment provided or offered at discharge,34,243,,31,243,,Tobacco use treatment provided or offered,97,224,,14,224,,Tobacco use treatment provided or offered at discharge,64,192,,1,192,,Transition record with specified elements received by discharged patients (TR1),100,1079,,Timely transmission of transition record (TR2),94,1079,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,37,340,,21,340,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,838,22,20,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),90,523,,43374,43555,"5353 G STREET CHINO, CA 91710 (34.009923, -117.6881)"
390201,LEHIGH VALLEY HOSPITAL - POCONO,206 EAST BROWN STREET,EAST STROUDSBURG,PA,18301,MONROE,Hours of physical-restraint use,1,110,4615,,Hours of seclusion use,2,225,4615,,Patients discharged on multiple antipsychotic medications with appropriate justification,79,33,,Screening for metabolic disorders (SMD),63,175,,Alcohol use brief intervention provided or offered,100,34,,100,34,,Alcohol and other drug use disorder treatment provided or offered at discharge,29,150,,28,150,,Tobacco use treatment provided or offered,95,175,,79,175,,Tobacco use treatment provided or offered at discharge,49,154,,45,154,,Transition record with specified elements received by discharged patients (TR1),59,314,,Timely transmission of transition record (TR2),49,314,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,62,50,,36,50,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,141,15,12,20,,42552,43281,Influenza immunization (IPFQR-IMM-2),96,136,,43374,43555,"206 EAST BROWN STREET EAST STROUDSBURG, PA 18301 (40.992284, -75.174327)"
224042,HIGH POINT TREATMENT CENTER,52 OAK STREET,MIDDLEBORO,MA,2346,PLYMOUTH,Hours of physical-restraint use,0,192,21471,,Hours of seclusion use,0,5,21471,,Patients discharged on multiple antipsychotic medications with appropriate justification,35,66,,Screening for metabolic disorders (SMD),3,334,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,63,281,,57,281,,Tobacco use treatment provided or offered,45,278,,3,278,,Tobacco use treatment provided or offered at discharge,10,256,,1,256,,Transition record with specified elements received by discharged patients (TR1),0,598,,Timely transmission of transition record (TR2),0,598,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,42552,43281,Influenza immunization (IPFQR-IMM-2),0,297,,43374,43555,"52 OAK STREET MIDDLEBORO, MA 02346 (41.894382, -70.913866)"
454122,OCEANS BEHAVIORAL HOSPITAL OF ABILENE,6401 DIRECTORS PARKWAY,ABILENE,TX,79606,TAYLOR,Hours of physical-restraint use,0,26,24055,,Hours of seclusion use,0,36,24055,,Patients discharged on multiple antipsychotic medications with appropriate justification,60,47,,Screening for metabolic disorders (SMD),36,359,,Alcohol use brief intervention provided or offered,47,90,,26,90,,Alcohol and other drug use disorder treatment provided or offered at discharge,13,100,,12,100,,Tobacco use treatment provided or offered,99,177,,5,177,,Tobacco use treatment provided or offered at discharge,57,169,,5,169,,Transition record with specified elements received by discharged patients (TR1),62,604,,Timely transmission of transition record (TR2),32,604,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,43,260,,20,260,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,746,22,20,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),78,289,,43374,43555,"6401 DIRECTORS PARKWAY ABILENE, TX 79606 (32.371613, -99.745009)"
330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,QUEENS,Hours of physical-restraint use,0,119,18462,,Hours of seclusion use,0,0,18462,,Patients discharged on multiple antipsychotic medications with appropriate justification,90,86,,Screening for metabolic disorders (SMD),27,510,,Alcohol use brief intervention provided or offered,100,82,,100,82,,Alcohol and other drug use disorder treatment provided or offered at discharge,98,284,,98,284,,Tobacco use treatment provided or offered,38,289,,38,289,,Tobacco use treatment provided or offered at discharge,13,282,,12,282,,Transition record with specified elements received by discharged patients (TR1),99,697,,Timely transmission of transition record (TR2),99,697,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,53,83,,37,83,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,205,18,15,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),83,339,,43374,43555,"89TH AVENUE AND VAN WYCK EXPRESSWAY JAMAICA, NY 11418 (40.701412, -73.816302)"
390039,UPMC SOMERSET,225 SOUTH CENTER AVENUE,SOMERSET,PA,15501,SOMERSET,Hours of physical-restraint use,1,109,4388,,Hours of seclusion use,1,68,4388,,Patients discharged on multiple antipsychotic medications with appropriate justification,0,34,,Screening for metabolic disorders (SMD),79,300,,Alcohol use brief intervention provided or offered,100,56,,100,56,,Alcohol and other drug use disorder treatment provided or offered at discharge,40,177,,40,177,,Tobacco use treatment provided or offered,90,249,,17,249,,Tobacco use treatment provided or offered at discharge,2,164,,2,164,,Transition record with specified elements received by discharged patients (TR1),100,541,,Timely transmission of transition record (TR2),80,501,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47,55,,20,55,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,149,17,13,22,,42552,43281,Influenza immunization (IPFQR-IMM-2),86,249,,43374,43555,"225 SOUTH CENTER AVENUE SOMERSET, PA 15501 (40.007081, -79.078598)"
440151,SAINT THOMAS RIVER PARK HOSPITAL,1559 SPARTA STREET,MC MINNVILLE,TN,37110,WARREN,Hours of physical-restraint use,0,0,2826,,Hours of seclusion use,0,0,2826,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),98,139,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),85,203,,Timely transmission of transition record (TR2),84,203,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,6,16,,6,16,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,174,19,15,24,,42552,43281,Influenza immunization (IPFQR-IMM-2),94,78,,43374,43555,"1559 SPARTA STREET MC MINNVILLE, TN 37110 (35.698694, -85.742339)"
